d,t,n
7,21,10
7,22,7
7,23,13
7,24,13
7,25,11
7,26,17
7,27,23
7,28,25
7,29,20
7,30,11
7,31,11
7,32,15
7,33,13
7,34,12
7,35,7
7,36,9
7,37,14
7,38,6
7,39,4
7,40,4
7,41,2
7,42,4
7,43,5
7,44,4
7,45,3
7,46,3
7,47,2
8,0,1
8,1,2
8,2,1
8,3,1
8,4,1
8,5,1
8,6,3
8,7,2
8,8,1
8,9,2
8,10,2
8,11,4
8,12,2
8,13,5
8,14,9
8,15,7
8,16,10
8,17,14
8,18,14
8,19,24
8,20,27
8,21,21
8,22,41
8,23,39
8,24,53
8,25,59
8,26,125
8,27,119
8,28,81
8,29,73
8,30,70
8,31,69
8,32,60
8,33,59
8,34,65
8,35,70
8,36,117
8,37,24
8,38,8
8,39,4
8,40,5
8,41,3
8,42,3
8,43,2
8,44,2
8,45,2
8,46,2
8,47,2
9,0,2
9,1,2
9,2,0
9,3,0
9,4,2
9,5,4
9,6,0
9,7,2
9,8,2
9,9,1
9,10,1
9,11,3
9,12,3
9,13,8
9,14,9
9,15,12
9,16,12
9,17,11
9,18,13
9,19,4
9,20,7
9,21,7
9,22,8
9,23,7
9,24,5
9,25,12
9,26,7
9,27,8
9,28,7
9,29,9
9,30,6
9,31,7
9,32,9
9,33,5
9,34,10
9,35,11
9,36,10
9,37,11
9,38,8
9,39,9
9,40,8
9,41,7
9,42,3
9,43,4
9,44,6
9,45,1
9,46,3
9,47,3
10,0,7
10,1,2
10,2,1
10,3,4
10,4,2
10,5,4
10,6,3
10,7,1
10,8,4
10,9,0
10,10,2
10,11,4
10,12,6
10,13,13
10,14,7
10,15,11
10,16,12
10,17,8
10,18,9
10,19,6
10,20,9
10,21,13
10,22,5
10,23,7
10,24,5
10,25,7
10,26,6
10,27,11
10,28,3
10,29,8
10,30,8
10,31,2
10,32,4
10,33,8
10,34,5
10,35,6
10,36,5
10,37,12
10,38,7
10,39,9
10,40,5
10,41,3
10,42,3
10,43,7
10,44,3
10,45,2
10,46,4
10,47,0
11,0,3
11,1,1
11,2,2
11,3,2
11,4,4
11,5,4
11,6,2
11,7,2
11,8,0
11,9,7
11,10,3
11,11,5
11,12,6
11,13,5
11,14,6
11,15,9
11,16,11
11,17,9
11,18,12
11,19,9
11,20,2
11,21,6
11,22,8
11,23,7
11,24,10
11,25,8
11,26,10
11,27,12
11,28,9
11,29,11
11,30,11
11,31,10
11,32,8
11,33,8
11,34,7
11,35,9
11,36,8
11,37,11
11,38,12
11,39,6
11,40,7
11,41,7
11,42,7
11,43,5
11,44,6
11,45,3
11,46,1
11,47,0
12,0,4
12,1,1
12,2,3
12,3,1
12,4,7
12,5,4
12,6,6
12,7,4
12,8,2
12,9,4
12,10,2
12,11,1
12,12,2
12,13,2
12,14,9
12,15,11
12,16,10
12,17,11
12,18,9
12,19,14
12,20,9
12,21,13
12,22,14
12,23,11
12,24,12
12,25,15
12,26,12
12,27,21
12,28,23
12,29,25
12,30,25
12,31,17
12,32,36
12,33,64
12,34,89
12,35,109
12,36,120
12,37,105
12,38,107
12,39,100
12,40,104
12,41,85
12,42,90
12,43,180
12,44,38
12,45,9
12,46,4
12,47,6
13,0,2
13,1,0
13,2,3
13,3,2
13,4,3
13,5,3
13,6,2
13,7,2
13,8,1
13,9,5
13,10,3
13,11,4
13,12,4
13,13,3
13,14,6
13,15,5
13,16,8
13,17,9
13,18,6
13,19,11
13,20,5
13,21,5
13,22,6
13,23,13
13,24,6
13,25,8
13,26,4
13,27,6
13,28,5
13,29,12
13,30,4
13,31,18
13,32,9
13,33,8
13,34,16
13,35,7
13,36,11
13,37,7
13,38,5
13,39,3
13,40,2
13,41,2
13,42,2
13,43,3
13,44,2
13,45,2
13,46,3
13,47,4
14,0,5
14,1,2
14,2,3
14,3,2
14,4,1
14,5,4
14,6,0
14,7,2
14,8,1
14,9,1
14,10,1
14,11,1
14,12,2
14,13,1
14,14,7
14,15,2
14,16,1
14,17,3
14,18,5
14,19,9
14,20,7
14,21,6
14,22,6
14,23,9
14,24,11
14,25,11
14,26,9
14,27,6
14,28,9
14,29,10
14,30,5
14,31,13
14,32,7
14,33,7
14,34,7
14,35,7
14,36,8
14,37,5
14,38,9
14,39,5
14,40,5
14,41,1
14,42,2
14,43,4
14,44,1
14,45,3
14,46,1
14,47,5
15,0,2
15,1,1
15,2,2
15,3,2
15,4,1
15,5,2
15,6,4
15,7,2
15,8,4
15,9,2
15,10,3
15,11,4
15,12,5
15,13,5
15,14,7
15,15,11
15,16,18
15,17,9
15,18,5
15,19,12
15,20,4
15,21,5
15,22,3
15,23,9
15,24,8
15,25,13
15,26,8
15,27,8
15,28,12
15,29,5
15,30,7
15,31,3
15,32,4
15,33,4
15,34,6
15,35,10
15,36,7
15,37,6
15,38,7
15,39,7
15,40,7
15,41,3
15,42,3
15,43,3
15,44,4
15,45,4
15,46,5
15,47,1
16,0,4
16,1,4
16,2,5
16,3,2
16,4,3
16,5,3
16,6,2
16,7,2
16,8,4
16,9,2
16,10,1
16,11,2
16,12,3
16,13,5
16,14,14
16,15,12
16,16,8
16,17,9
16,18,7
16,19,7
16,20,10
16,21,11
16,22,12
16,23,7
16,24,9
16,25,9
16,26,6
16,27,10
16,28,7
16,29,5
16,30,2
16,31,8
16,32,7
16,33,11
16,34,9
16,35,8
16,36,8
16,37,9
16,38,8
16,39,6
16,40,2
16,41,3
16,42,3
16,43,3
16,44,2
16,45,0
16,46,2
16,47,0
17,0,0
17,1,0
17,2,2
17,3,0
17,4,1
17,5,4
17,6,3
17,7,3
17,8,0
17,9,3
17,10,3
17,11,2
17,12,5
17,13,3
17,14,11
17,15,10
17,16,11
17,17,8
17,18,10
17,19,8
17,20,10
17,21,13
17,22,3
17,23,3
17,24,9
17,25,3
17,26,6
17,27,5
17,28,8
17,29,6
17,30,11
17,31,4
17,32,12
17,33,5
17,34,3
17,35,6
17,36,14
17,37,6
17,38,4
17,39,4
17,40,3
17,41,1
17,42,4
17,43,7
17,44,3
17,45,2
17,46,2
17,47,2
18,0,1
18,1,1
18,2,0
18,3,3
18,4,4
18,5,2
18,6,2
18,7,3
18,8,1
18,9,5
18,10,3
18,11,4
18,12,4
18,13,5
18,14,9
18,15,8
18,16,7
18,17,15
18,18,14
18,19,10
18,20,7
18,21,9
18,22,8
18,23,8
18,24,11
18,25,9
18,26,5
18,27,11
18,28,8
18,29,11
18,30,9
18,31,9
18,32,9
18,33,4
18,34,8
18,35,12
18,36,11
18,37,10
18,38,10
18,39,8
18,40,5
18,41,10
18,42,4
18,43,2
18,44,3
18,45,3
18,46,1
18,47,3
19,0,3
19,1,2
19,2,2
19,3,2
19,4,2
19,5,0
19,6,3
19,7,2
19,8,0
19,9,3
19,10,0
19,11,2
19,12,7
19,13,6
19,14,10
19,15,12
19,16,8
19,17,7
19,18,7
19,19,5
19,20,4
19,21,6
19,22,7
19,23,5
19,24,5
19,25,8
19,26,10
19,27,5
19,28,8
19,29,14
19,30,5
19,31,6
19,32,8
19,33,9
19,34,11
19,35,9
19,36,14
19,37,12
19,38,12
19,39,4
19,40,8
19,41,5
19,42,4
19,43,6
19,44,2
19,45,1
19,46,0
19,47,1
20,0,3
20,1,0
20,2,0
20,3,0
20,4,2
20,5,1
20,6,0
20,7,2
20,8,2
20,9,3
20,10,1
20,11,2
20,12,2
20,13,4
20,14,4
20,15,4
20,16,8
20,17,5
20,18,8
20,19,9
20,20,10
20,21,6
20,22,8
20,23,5
20,24,7
20,25,6
20,26,8
20,27,9
20,28,8
20,29,9
20,30,10
20,31,10
20,32,7
20,33,9
20,34,6
20,35,5
20,36,12
20,37,8
20,38,15
20,39,9
20,40,2
20,41,2
20,42,2
20,43,10
20,44,7
20,45,1
20,46,0
20,47,2
21,0,0
21,1,1
21,2,0
21,3,2
21,4,2
21,5,0
21,6,1
21,7,1
21,8,3
21,9,0
21,10,2
21,11,2
21,12,1
21,13,0
21,14,4
21,15,3
21,16,5
21,17,10
21,18,5
21,19,5
21,20,8
21,21,7
21,22,6
21,23,6
21,24,5
21,25,7
21,26,8
21,27,7
21,28,8
21,29,7
21,30,10
21,31,6
21,32,6
21,33,5
21,34,4
21,35,4
21,36,4
21,37,4
21,38,3
21,39,2
21,40,3
21,41,2
21,42,4
21,43,2
21,44,3
21,45,4
21,46,2
21,47,0
22,0,2
22,1,0
22,2,1
22,3,1
22,4,1
22,5,2
22,6,1
22,7,2
22,8,3
22,9,2
22,10,2
22,11,5
22,12,2
22,13,7
22,14,9
22,15,12
22,16,6
22,17,13
22,18,13
22,19,8
22,20,13
22,21,5
22,22,5
22,23,10
22,24,7
22,25,3
22,26,7
22,27,8
22,28,4
22,29,11
22,30,9
22,31,7
22,32,9
22,33,14
22,34,8
22,35,8
22,36,7
22,37,9
22,38,9
22,39,3
22,40,6
22,41,8
22,42,6
22,43,3
22,44,2
22,45,2
22,46,1
22,47,2
23,0,2
23,1,1
23,2,0
23,3,2
23,4,1
23,5,2
23,6,2
23,7,3
23,8,3
23,9,2
23,10,3
23,11,5
23,12,2
23,13,4
23,14,11
23,15,12
23,16,13
23,17,11
23,18,13
23,19,5
23,20,10
23,21,9
23,22,6
23,23,5
23,24,7
23,25,4
23,26,5
23,27,9
23,28,6
23,29,8
23,30,10
23,31,8
23,32,6
23,33,7
23,34,5
23,35,6
23,36,11
23,37,4
23,38,6
23,39,5
23,40,6
23,41,4
23,42,3
23,43,7
23,44,1
23,45,2
23,46,5
23,47,3
24,0,3
24,1,5
24,2,3
24,3,2
24,4,3
24,5,0
24,6,3
24,7,2
24,8,0
24,9,2
24,10,4
24,11,3
24,12,2
24,13,6
24,14,8
24,15,11
24,16,9
24,17,15
24,18,14
24,19,9
24,20,12
24,21,10
24,22,10
24,23,7
24,24,11
24,25,6
24,26,10
24,27,4
24,28,14
24,29,10
24,30,5
24,31,5
24,32,8
24,33,10
24,34,10
24,35,6
24,36,9
24,37,13
24,38,8
24,39,4
24,40,5
24,41,3
24,42,6
24,43,6
24,44,5
24,45,2
24,46,1
24,47,2
25,0,2
25,1,2
25,2,0
25,3,3
25,4,1
25,5,2
25,6,2
25,7,1
25,8,3
25,9,2
25,10,0
25,11,1
25,12,1
25,13,8
25,14,13
25,15,11
25,16,7
25,17,8
25,18,12
25,19,8
25,20,7
25,21,10
25,22,7
25,23,5
25,24,8
25,25,7
25,26,10
25,27,8
25,28,9
25,29,7
25,30,8
25,31,11
25,32,7
25,33,3
25,34,6
25,35,6
25,36,7
25,37,10
25,38,12
25,39,4
25,40,6
25,41,5
25,42,3
25,43,2
25,44,4
25,45,2
25,46,0
25,47,0
26,0,3
26,1,0
26,2,1
26,3,3
26,4,3
26,5,1
26,6,2
26,7,2
26,8,2
26,9,1
26,10,0
26,11,1
26,12,4
26,13,5
26,14,10
26,15,10
26,16,8
26,17,5
26,18,6
26,19,10
26,20,10
26,21,14
26,22,6
26,23,11
26,24,7
26,25,11
26,26,10
26,27,7
26,28,4
26,29,11
26,30,11
26,31,13
26,32,7
26,33,6
26,34,5
26,35,9
26,36,10
26,37,6
26,38,7
26,39,5
26,40,7
26,41,8
26,42,3
26,43,3
26,44,4
26,45,3
26,46,2
26,47,1
27,0,5
27,1,2
27,2,2
27,3,1
27,4,2
27,5,2
27,6,0
27,7,2
27,8,0
27,9,1
27,10,2
27,11,2
27,12,2
27,13,5
27,14,10
27,15,9
27,16,8
27,17,5
27,18,9
27,19,8
27,20,5
27,21,8
27,22,7
27,23,11
27,24,11
27,25,9
27,26,6
27,27,8
27,28,10
27,29,3
27,30,6
27,31,9
27,32,8
27,33,6
27,34,7
27,35,11
27,36,11
27,37,8
27,38,7
27,39,3
27,40,3
27,41,3
27,42,2
27,43,0
27,44,3
27,45,1
27,46,5
27,47,3
28,0,1
28,1,1
28,2,2
28,3,0
28,4,1
28,5,0
28,6,2
28,7,1
28,8,1
28,9,3
28,10,2
28,11,2
28,12,4
28,13,6
28,14,3
28,15,7
28,16,1
28,17,9
28,18,3
28,19,7
28,20,8
28,21,10
28,22,0
28,23,6
28,24,3
28,25,7
28,26,5
28,27,3
28,28,9
28,29,6
28,30,15
28,31,6
28,32,4
28,33,7
28,34,7
28,35,4
28,36,3
28,37,12
28,38,6
28,39,10
28,40,5
28,41,5
28,42,6
28,43,4
28,44,1
28,45,1
28,46,0
28,47,1
29,0,3
29,1,1
29,2,3
29,3,1
29,4,4
29,5,0
29,6,2
29,7,1
29,8,1
29,9,3
29,10,4
29,11,3
29,12,1
29,13,1
29,14,5
29,15,2
29,16,5
29,17,6
29,18,6
29,19,10
29,20,11
29,21,6
29,22,10
29,23,13
29,24,14
29,25,5
29,26,7
29,27,6
29,28,8
29,29,5
29,30,8
29,31,4
29,32,7
29,33,5
29,34,6
29,35,8
29,36,5
29,37,7
29,38,5
29,39,3
29,40,10
29,41,8
29,42,3
29,43,4
29,44,2
29,45,3
29,46,3
29,47,3
30,0,2
30,1,1
30,2,1
30,3,1
30,4,3
30,5,1
30,6,0
30,7,1
30,8,2
30,9,3
30,10,1
30,11,3
30,12,1
30,13,8
30,14,10
30,15,7
30,16,11
30,17,17
30,18,7
30,19,2
30,20,5
30,21,6
30,22,8
30,23,5
30,24,6
30,25,6
30,26,5
30,27,4
30,28,4
30,29,12
30,30,7
30,31,8
30,32,5
30,33,6
30,34,6
30,35,12
30,36,9
30,37,13
30,38,6
30,39,9
30,40,4
30,41,2
30,42,2
30,43,1
30,44,3
30,45,3
30,46,3
30,47,1
31,0,2
31,1,3
31,2,2
31,3,1
31,4,0
31,5,3
31,6,0
31,7,1
31,8,1
31,9,1
31,10,1
31,11,2
31,12,1
31,13,4
31,14,9
31,15,11
31,16,9
31,17,8
31,18,9
31,19,4
31,20,7
31,21,8
31,22,7
31,23,10
31,24,10
31,25,10
31,26,6
31,27,3
31,28,10
31,29,8
31,30,10
31,31,8
31,32,6
31,33,4
31,34,4
31,35,12
31,36,10
31,37,5
31,38,8
31,39,3
31,40,5
31,41,3
31,42,4
31,43,5
31,44,5
31,45,5
31,46,4
31,47,3
32,0,4
32,1,2
32,2,3
32,3,2
32,4,1
32,5,4
32,6,0
32,7,0
32,8,0
32,9,3
32,10,1
32,11,4
32,12,1
32,13,5
32,14,9
32,15,10
32,16,6
32,17,13
32,18,6
32,19,6
32,20,12
32,21,10
32,22,7
32,23,4
32,24,10
32,25,4
32,26,9
32,27,8
32,28,6
32,29,8
32,30,3
32,31,4
32,32,9
32,33,7
32,34,7
32,35,7
32,36,9
32,37,3
32,38,4
32,39,3
32,40,5
32,41,3
32,42,4
32,43,8
32,44,4
32,45,2
32,46,1
32,47,1
33,0,2
33,1,1
33,2,0
33,3,2
33,4,2
33,5,2
33,6,2
33,7,3
33,8,3
33,9,2
33,10,2
33,11,3
33,12,4
33,13,5
33,14,7
33,15,5
33,16,6
33,17,8
33,18,10
33,19,9
33,20,7
33,21,9
33,22,5
33,23,8
33,24,10
33,25,5
33,26,6
33,27,7
33,28,9
33,29,7
33,30,9
33,31,6
33,32,4
33,33,5
33,34,8
33,35,13
33,36,13
33,37,6
33,38,12
33,39,6
33,40,5
33,41,3
33,42,6
33,43,5
33,44,4
33,45,3
33,46,0
33,47,1
34,0,1
34,1,1
34,2,3
34,3,3
34,4,3
34,5,0
34,6,1
34,7,2
34,8,3
34,9,0
34,10,2
34,11,0
34,12,4
34,13,5
34,14,6
34,15,5
34,16,6
34,17,2
34,18,6
34,19,9
34,20,9
34,21,7
34,22,9
34,23,6
34,24,5
34,25,8
34,26,11
34,27,6
34,28,11
34,29,11
34,30,10
34,31,8
34,32,14
34,33,7
34,34,7
34,35,8
34,36,6
34,37,10
34,38,1
34,39,5
34,40,5
34,41,5
34,42,3
34,43,2
34,44,4
34,45,1
34,46,2
34,47,3
35,0,1
35,1,2
35,2,0
35,3,2
35,4,2
35,5,1
35,6,1
35,7,2
35,8,0
35,9,1
35,10,2
35,11,3
35,12,1
35,13,2
35,14,3
35,15,1
35,16,2
35,17,3
35,18,6
35,19,3
35,20,10
35,21,5
35,22,9
35,23,8
35,24,7
35,25,5
35,26,4
35,27,10
35,28,4
35,29,11
35,30,10
35,31,8
35,32,9
35,33,5
35,34,7
35,35,2
35,36,5
35,37,9
35,38,4
35,39,5
35,40,1
35,41,7
35,42,3
35,43,3
35,44,4
35,45,4
35,46,2
35,47,3
36,0,0
36,1,3
36,2,4
36,3,2
36,4,4
36,5,2
36,6,1
36,7,2
36,8,2
36,9,3
36,10,0
36,11,2
36,12,1
36,13,4
36,14,8
36,15,13
36,16,5
36,17,9
36,18,10
36,19,8
36,20,8
36,21,9
36,22,6
36,23,8
36,24,7
36,25,15
36,26,7
36,27,10
36,28,10
36,29,10
36,30,6
36,31,11
36,32,5
36,33,6
36,34,6
36,35,6
36,36,8
36,37,7
36,38,10
36,39,6
36,40,3
36,41,5
36,42,10
36,43,5
36,44,1
36,45,0
36,46,1
36,47,3
37,0,3
37,1,2
37,2,1
37,3,2
37,4,5
37,5,2
37,6,1
37,7,1
37,8,2
37,9,1
37,10,2
37,11,3
37,12,4
37,13,4
37,14,6
37,15,4
37,16,5
37,17,6
37,18,3
37,19,6
37,20,12
37,21,7
37,22,9
37,23,8
37,24,4
37,25,9
37,26,10
37,27,9
37,28,11
37,29,9
37,30,5
37,31,7
37,32,8
37,33,4
37,34,4
37,35,4
37,36,5
37,37,7
37,38,3
37,39,4
37,40,3
37,41,7
37,42,2
37,43,2
37,44,2
37,45,1
37,46,3
37,47,3
38,0,1
38,1,1
38,2,3
38,3,5
38,4,2
38,5,3
38,6,2
38,7,3
38,8,5
38,9,2
38,10,3
38,11,1
38,12,3
38,13,6
38,14,9
38,15,12
38,16,16
38,17,5
38,18,4
38,19,6
38,20,5
38,21,13
38,22,6
38,23,8
38,24,8
38,25,6
38,26,6
38,27,6
38,28,7
38,29,3
38,30,10
38,31,5
38,32,6
38,33,8
38,34,6
38,35,10
38,36,10
38,37,8
38,38,4
38,39,6
38,40,6
38,41,8
38,42,2
38,43,1
38,44,6
38,45,2
38,46,6
38,47,2
39,0,2
39,1,1
39,2,1
39,3,1
39,4,1
39,5,2
39,6,2
39,7,1
39,8,0
39,9,1
39,10,1
39,11,4
39,12,3
39,13,8
39,14,5
39,15,20
39,16,14
39,17,5
39,18,13
39,19,8
39,20,10
39,21,8
39,22,6
39,23,9
39,24,8
39,25,10
39,26,5
39,27,7
39,28,7
39,29,6
39,30,7
39,31,3
39,32,4
39,33,8
39,34,6
39,35,12
39,36,6
39,37,11
39,38,15
39,39,6
39,40,8
39,41,6
39,42,11
39,43,6
39,44,3
39,45,3
39,46,3
39,47,1
40,0,1
40,1,2
40,2,2
40,3,2
40,4,2
40,5,3
40,6,3
40,7,5
40,8,3
40,9,2
40,10,1
40,11,2
40,12,1
40,13,3
40,14,11
40,15,11
40,16,15
40,17,5
40,18,5
40,19,10
40,20,5
40,21,8
40,22,8
40,23,5
40,24,10
40,25,7
40,26,2
40,27,8
40,28,8
40,29,6
40,30,7
40,31,9
40,32,10
40,33,6
40,34,7
40,35,13
40,36,10
40,37,10
40,38,5
40,39,5
40,40,5
40,41,4
40,42,6
40,43,1
40,44,0
40,45,3
40,46,2
40,47,1
41,0,0
41,1,1
41,2,0
41,3,2
41,4,1
41,5,0
41,6,2
41,7,0
41,8,1
41,9,0
41,10,0
41,11,1
41,12,2
41,13,1
41,14,6
41,15,6
41,16,6
41,17,9
41,18,8
41,19,11
41,20,7
41,21,3
41,22,7
41,23,6
41,24,5
41,25,7
41,26,7
41,27,8
41,28,9
41,29,7
41,30,9
41,31,5
41,32,3
41,33,8
41,34,8
41,35,14
41,36,9
41,37,4
41,38,1
41,39,8
41,40,3
41,41,5
41,42,4
41,43,3
41,44,7
41,45,3
41,46,4
41,47,3
42,0,2
42,1,0
42,2,1
42,3,1
42,4,1
42,5,1
42,6,2
42,7,1
42,8,3
42,9,1
42,10,3
42,11,1
42,12,0
42,13,2
42,14,5
42,15,4
42,16,4
42,17,4
42,18,2
42,19,6
42,20,8
42,21,1
42,22,4
42,23,3
42,24,4
42,25,7
42,26,7
42,27,5
42,28,2
42,29,6
42,30,9
42,31,7
42,32,8
42,33,4
42,34,10
42,35,9
42,36,4
42,37,3
42,38,8
42,39,2
42,40,4
42,41,6
42,42,3
42,43,1
42,44,3
42,45,1
42,46,0
42,47,1
43,0,1
43,1,3
43,2,2
43,3,2
43,4,2
43,5,0
43,6,2
43,7,3
43,8,1
43,9,2
43,10,2
43,11,2
43,12,5
43,13,6
43,14,8
43,15,6
43,16,10
43,17,10
43,18,1
43,19,6
43,20,3
43,21,8
43,22,4
43,23,6
43,24,4
43,25,8
43,26,14
43,27,6
43,28,11
43,29,8
43,30,6
43,31,8
43,32,6
43,33,4
43,34,5
43,35,10
43,36,11
43,37,8
43,38,5
43,39,4
43,40,4
43,41,3
43,42,4
43,43,4
43,44,1
43,45,4
43,46,0
43,47,4
44,0,2
44,1,1
44,2,1
44,3,1
44,4,3
44,5,0
44,6,3
44,7,3
44,8,3
44,9,1
44,10,3
44,11,0
44,12,1
44,13,6
44,14,9
44,15,12
44,16,17
44,17,8
44,18,7
44,19,4
44,20,6
44,21,10
44,22,7
44,23,9
44,24,7
44,25,8
44,26,9
44,27,7
44,28,12
44,29,7
44,30,4
44,31,2
44,32,10
44,33,7
44,34,9
44,35,11
44,36,13
44,37,14
44,38,5
44,39,6
44,40,6
44,41,3
44,42,4
44,43,2
44,44,4
44,45,3
44,46,3
44,47,1
45,0,2
45,1,0
45,2,2
45,3,3
45,4,4
45,5,1
45,6,2
45,7,1
45,8,4
45,9,1
45,10,1
45,11,2
45,12,2
45,13,6
45,14,7
45,15,9
45,16,5
45,17,5
45,18,13
45,19,3
45,20,8
45,21,9
45,22,6
45,23,5
45,24,7
45,25,9
45,26,9
45,27,8
45,28,7
45,29,6
45,30,4
45,31,4
45,32,7
45,33,4
45,34,10
45,35,15
45,36,9
45,37,9
45,38,5
45,39,6
45,40,7
45,41,3
45,42,6
45,43,2
45,44,3
45,45,2
45,46,2
45,47,1
46,0,1
46,1,2
46,2,3
46,3,0
46,4,2
46,5,2
46,6,1
46,7,2
46,8,2
46,9,2
46,10,0
46,11,2
46,12,3
46,13,5
46,14,9
46,15,8
46,16,9
46,17,13
46,18,6
46,19,13
46,20,1
46,21,8
46,22,4
46,23,8
46,24,10
46,25,6
46,26,12
46,27,9
46,28,10
46,29,9
46,30,9
46,31,4
46,32,6
46,33,3
46,34,7
46,35,6
46,36,8
46,37,7
46,38,11
46,39,10
46,40,6
46,41,5
46,42,7
46,43,5
46,44,3
46,45,1
46,46,1
46,47,1
47,0,1
47,1,1
47,2,0
47,3,0
47,4,4
47,5,1
47,6,0
47,7,3
47,8,2
47,9,2
47,10,1
47,11,2
47,12,3
47,13,7
47,14,9
47,15,15
47,16,13
47,17,9
47,18,14
47,19,10
47,20,7
47,21,10
47,22,10
47,23,8
47,24,9
47,25,6
47,26,7
47,27,8
47,28,7
47,29,7
47,30,5
47,31,12
47,32,10
47,33,3
47,34,9
47,35,6
47,36,15
47,37,10
47,38,11
47,39,8
47,40,4
47,41,5
47,42,4
47,43,4
47,44,2
47,45,3
47,46,2
47,47,3
48,0,0
48,1,1
48,2,3
48,3,0
48,4,2
48,5,0
48,6,2
48,7,3
48,8,4
48,9,1
48,10,1
48,11,3
48,12,3
48,13,2
48,14,7
48,15,10
48,16,4
48,17,5
48,18,4
48,19,6
48,20,1
48,21,5
48,22,4
48,23,4
48,24,4
48,25,5
48,26,5
