d,t,n
10,43,23
10,44,27
10,45,19
10,46,16
10,47,12
11,0,5
11,1,5
11,2,4
11,3,2
11,4,1
11,5,3
11,6,2
11,7,5
11,8,3
11,9,5
11,10,5
11,11,14
11,12,22
11,13,25
11,14,47
11,15,81
11,16,80
11,17,75
11,18,53
11,19,46
11,20,52
11,21,53
11,22,56
11,23,47
11,24,50
11,25,44
11,26,47
11,27,34
11,28,42
11,29,49
11,30,39
11,31,44
11,32,47
11,33,67
11,34,74
11,35,68
11,36,61
11,37,62
11,38,52
11,39,61
11,40,59
11,41,34
11,42,41
11,43,35
11,44,22
11,45,33
11,46,16
11,47,24
12,0,10
12,1,5
12,2,4
12,3,3
12,4,3
12,5,7
12,6,6
12,7,3
12,8,5
12,9,6
12,10,4
12,11,25
12,12,14
12,13,42
12,14,64
12,15,91
12,16,80
12,17,62
12,18,51
12,19,45
12,20,46
12,21,40
12,22,53
12,23,59
12,24,58
12,25,48
12,26,47
12,27,50
12,28,46
12,29,52
12,30,63
12,31,48
12,32,59
12,33,61
12,34,84
12,35,86
12,36,117
12,37,94
12,38,70
12,39,61
12,40,51
12,41,45
12,42,44
12,43,50
12,44,73
12,45,35
12,46,37
12,47,34
13,0,9
13,1,8
13,2,6
13,3,10
13,4,5
13,5,5
13,6,5
13,7,2
13,8,3
13,9,2
13,10,6
13,11,10
13,12,11
13,13,17
13,14,28
13,15,32
13,16,38
13,17,43
13,18,35
13,19,31
13,20,36
13,21,42
13,22,35
13,23,40
13,24,39
13,25,54
13,26,63
13,27,45
13,28,52
13,29,37
13,30,56
13,31,55
13,32,40
13,33,49
13,34,38
13,35,44
13,36,48
13,37,36
13,38,44
13,39,38
13,40,42
13,41,28
13,42,33
13,43,28
13,44,26
13,45,17
13,46,20
13,47,18
14,0,5
14,1,2
14,2,5
14,3,1
14,4,1
14,5,3
14,6,2
14,7,2
14,8,5
14,9,5
14,10,6
14,11,10
14,12,17
14,13,18
14,14,19
14,15,26
14,16,35
14,17,25
14,18,35
14,19,31
14,20,37
14,21,36
14,22,43
14,23,28
14,24,39
14,25,43
14,26,44
14,27,27
14,28,36
14,29,37
14,30,37
14,31,46
14,32,39
14,33,38
14,34,48
14,35,48
14,36,26
14,37,31
14,38,28
14,39,29
14,40,27
14,41,13
14,42,21
14,43,17
14,44,14
14,45,16
14,46,6
14,47,8
15,0,3
15,1,8
15,2,5
15,3,3
15,4,1
15,5,3
15,6,2
15,7,2
15,8,2
15,9,4
15,10,6
15,11,12
15,12,14
15,13,24
15,14,75
15,15,76
15,16,82
15,17,69
15,18,46
15,19,42
15,20,48
15,21,43
15,22,47
15,23,58
15,24,46
15,25,44
15,26,44
15,27,39
15,28,48
15,29,49
15,30,45
15,31,44
15,32,40
15,33,54
15,34,64
15,35,82
15,36,60
15,37,72
15,38,63
15,39,66
15,40,37
15,41,39
15,42,40
15,43,26
15,44,22
15,45,12
15,46,14
15,47,9
16,0,2
16,1,4
16,2,5
16,3,6
16,4,5
16,5,5
16,6,4
16,7,5
16,8,6
16,9,3
16,10,5
16,11,24
16,12,18
16,13,35
16,14,62
16,15,84
16,16,75
16,17,58
16,18,62
16,19,36
16,20,45
16,21,46
16,22,39
16,23,56
16,24,57
16,25,45
16,26,45
16,27,44
16,28,55
16,29,55
16,30,39
16,31,41
16,32,53
16,33,45
16,34,44
16,35,73
16,36,104
16,37,72
16,38,70
16,39,41
16,40,56
16,41,46
16,42,40
16,43,39
16,44,16
16,45,19
16,46,11
16,47,11
17,0,6
17,1,6
17,2,4
17,3,4
17,4,1
17,5,4
17,6,4
17,7,3
17,8,2
17,9,5
17,10,9
17,11,18
17,12,18
17,13,33
17,14,65
17,15,87
17,16,80
17,17,70
17,18,48
17,19,48
17,20,52
17,21,50
17,22,41
17,23,52
17,24,42
17,25,37
17,26,36
17,27,46
17,28,40
17,29,41
17,30,36
17,31,41
17,32,40
17,33,51
17,34,62
17,35,62
17,36,94
17,37,74
17,38,53
17,39,40
17,40,45
17,41,40
17,42,36
17,43,35
17,44,21
17,45,13
17,46,17
17,47,15
18,0,5
18,1,0
18,2,3
18,3,4
18,4,6
18,5,4
18,6,1
18,7,4
18,8,5
18,9,6
18,10,9
18,11,14
18,12,17
18,13,20
18,14,59
18,15,104
18,16,80
18,17,76
18,18,56
18,19,46
18,20,43
18,21,56
18,22,44
18,23,50
18,24,46
18,25,62
18,26,57
18,27,57
18,28,50
18,29,53
18,30,39
18,31,42
18,32,46
18,33,50
18,34,57
18,35,66
18,36,70
18,37,98
18,38,68
18,39,64
18,40,60
18,41,33
18,42,37
18,43,39
18,44,31
18,45,17
18,46,17
18,47,12
19,0,4
19,1,7
19,2,3
19,3,2
19,4,1
19,5,3
19,6,7
19,7,4
19,8,4
19,9,9
19,10,5
19,11,5
19,12,20
19,13,43
19,14,68
19,15,98
19,16,78
19,17,66
19,18,62
19,19,47
19,20,40
19,21,45
19,22,40
19,23,38
19,24,53
19,25,52
19,26,62
19,27,43
19,28,47
19,29,46
19,30,53
19,31,47
19,32,60
19,33,52
19,34,60
19,35,90
19,36,92
19,37,109
19,38,92
19,39,68
19,40,69
19,41,49
19,42,60
19,43,43
19,44,38
19,45,35
19,46,30
19,47,20
20,0,10
20,1,9
20,2,6
20,3,6
20,4,2
20,5,4
20,6,4
20,7,3
20,8,4
20,9,5
20,10,8
20,11,12
20,12,16
20,13,18
20,14,26
20,15,36
20,16,33
20,17,46
20,18,39
20,19,49
20,20,51
20,21,40
20,22,46
20,23,50
20,24,58
20,25,40
20,26,51
20,27,54
20,28,40
20,29,42
20,30,49
20,31,27
20,32,37
20,33,51
20,34,54
20,35,48
20,36,45
20,37,43
20,38,31
20,39,42
20,40,41
20,41,34
20,42,40
20,43,28
20,44,22
20,45,15
20,46,18
20,47,24
21,0,8
21,1,4
21,2,3
21,3,4
21,4,5
21,5,2
21,6,1
21,7,4
21,8,4
21,9,8
21,10,4
21,11,9
21,12,8
21,13,10
21,14,22
21,15,13
21,16,29
21,17,28
21,18,30
21,19,38
21,20,25
21,21,37
21,22,37
21,23,44
21,24,39
21,25,36
21,26,41
21,27,37
21,28,46
21,29,30
21,30,36
21,31,49
21,32,43
21,33,32
21,34,48
21,35,35
21,36,43
21,37,37
21,38,18
21,39,23
21,40,26
21,41,17
21,42,17
21,43,15
21,44,15
21,45,9
21,46,11
21,47,11
22,0,6
22,1,3
22,2,3
22,3,4
22,4,3
22,5,3
22,6,1
22,7,3
22,8,5
22,9,4
22,10,3
22,11,12
22,12,18
22,13,33
22,14,70
22,15,83
22,16,71
22,17,76
22,18,49
22,19,60
22,20,50
22,21,48
22,22,40
22,23,54
22,24,52
22,25,58
22,26,53
22,27,55
22,28,55
22,29,44
22,30,51
22,31,54
22,32,51
22,33,49
22,34,65
22,35,73
22,36,87
22,37,78
22,38,57
22,39,51
22,40,49
22,41,41
22,42,33
22,43,27
22,44,15
22,45,19
22,46,12
22,47,11
23,0,6
23,1,4
23,2,4
23,3,3
23,4,3
23,5,1
23,6,2
23,7,2
23,8,4
23,9,3
23,10,2
23,11,14
23,12,26
23,13,42
23,14,58
23,15,92
23,16,92
23,17,73
23,18,55
23,19,48
23,20,50
23,21,49
23,22,50
23,23,42
23,24,46
23,25,65
23,26,42
23,27,38
23,28,47
23,29,59
23,30,51
23,31,45
23,32,56
23,33,55
23,34,46
23,35,77
23,36,89
23,37,84
23,38,77
23,39,50
23,40,46
23,41,48
23,42,40
23,43,32
23,44,23
23,45,24
23,46,14
23,47,10
24,0,6
24,1,5
24,2,1
24,3,2
24,4,7
24,5,3
24,6,0
24,7,1
24,8,3
24,9,5
24,10,4
24,11,9
24,12,19
24,13,50
24,14,64
24,15,79
24,16,94
24,17,65
24,18,60
24,19,34
24,20,48
24,21,54
24,22,40
24,23,42
24,24,44
24,25,45
24,26,53
24,27,53
24,28,43
24,29,52
24,30,41
24,31,34
24,32,40
24,33,54
24,34,65
24,35,91
24,36,92
24,37,74
24,38,69
24,39,47
24,40,35
24,41,44
24,42,30
24,43,24
24,44,28
24,45,23
24,46,21
24,47,16
25,0,6
25,1,5
25,2,6
25,3,9
25,4,3
25,5,4
25,6,6
25,7,3
25,8,2
25,9,5
25,10,5
25,11,14
25,12,17
25,13,34
25,14,77
25,15,74
25,16,77
25,17,72
25,18,44
25,19,54
25,20,64
25,21,43
25,22,45
25,23,47
25,24,58
25,25,42
25,26,55
25,27,39
25,28,44
25,29,40
25,30,56
25,31,53
25,32,50
25,33,54
25,34,71
25,35,67
25,36,87
25,37,68
25,38,51
25,39,55
25,40,54
25,41,42
25,42,32
25,43,28
25,44,38
25,45,19
25,46,16
25,47,14
26,0,8
26,1,2
26,2,6
26,3,4
26,4,3
26,5,2
26,6,5
26,7,4
26,8,6
26,9,5
26,10,6
26,11,21
26,12,18
26,13,26
26,14,67
26,15,77
26,16,87
26,17,54
26,18,52
26,19,48
26,20,48
26,21,36
26,22,51
26,23,53
26,24,53
26,25,55
26,26,64
26,27,47
26,28,54
26,29,53
26,30,51
26,31,61
26,32,64
26,33,54
26,34,68
26,35,109
26,36,126
26,37,107
26,38,85
26,39,74
26,40,60
26,41,52
26,42,47
26,43,29
26,44,26
26,45,30
26,46,29
26,47,21
27,0,10
27,1,5
27,2,6
27,3,1
27,4,5
27,5,4
27,6,3
27,7,3
27,8,3
27,9,4
27,10,6
27,11,6
27,12,14
27,13,12
27,14,24
27,15,28
27,16,31
27,17,26
27,18,56
27,19,58
27,20,41
27,21,57
27,22,38
27,23,42
27,24,49
27,25,52
27,26,46
27,27,41
27,28,38
27,29,45
27,30,50
27,31,41
27,32,58
27,33,40
27,34,53
27,35,53
27,36,45
27,37,40
27,38,37
27,39,37
27,40,33
27,41,25
27,42,30
27,43,24
27,44,19
27,45,17
27,46,11
27,47,12
28,0,4
28,1,2
28,2,5
28,3,5
28,4,4
28,5,2
28,6,4
28,7,5
28,8,4
28,9,7
28,10,6
28,11,4
28,12,13
28,13,18
28,14,23
28,15,19
28,16,33
28,17,28
28,18,54
28,19,40
28,20,40
28,21,48
28,22,35
28,23,45
28,24,43
28,25,50
28,26,56
28,27,45
28,28,35
28,29,42
28,30,43
28,31,49
28,32,52
28,33,51
28,34,43
28,35,37
28,36,44
28,37,38
28,38,39
28,39,26
28,40,25
28,41,26
28,42,21
28,43,23
28,44,22
28,45,12
28,46,11
28,47,9
29,0,4
29,1,1
29,2,4
29,3,2
29,4,1
29,5,2
29,6,2
29,7,2
29,8,2
29,9,4
29,10,7
29,11,10
29,12,12
29,13,13
29,14,24
29,15,20
29,16,33
29,17,24
29,18,35
29,19,29
29,20,33
29,21,38
29,22,33
29,23,33
29,24,32
29,25,44
29,26,37
29,27,40
29,28,32
29,29,42
29,30,49
29,31,45
29,32,40
29,33,41
29,34,39
29,35,40
29,36,47
29,37,42
29,38,40
29,39,36
29,40,30
29,41,24
29,42,24
29,43,20
29,44,9
29,45,10
29,46,8
29,47,9
30,0,4
30,1,3
30,2,4
30,3,2
30,4,11
30,5,3
30,6,3
30,7,6
30,8,2
30,9,5
30,10,5
30,11,12
30,12,27
30,13,37
30,14,61
30,15,99
30,16,81
30,17,78
30,18,40
30,19,49
30,20,46
30,21,39
30,22,45
30,23,49
30,24,42
30,25,50
30,26,49
30,27,45
30,28,40
30,29,42
30,30,47
30,31,49
30,32,33
30,33,50
30,34,43
30,35,77
30,36,69
30,37,68
30,38,59
30,39,45
30,40,50
30,41,37
30,42,34
30,43,20
30,44,23
30,45,15
30,46,11
30,47,12
31,0,8
31,1,4
31,2,5
31,3,9
31,4,6
31,5,5
31,6,3
31,7,5
31,8,4
31,9,2
31,10,5
31,11,15
31,12,22
31,13,35
31,14,56
31,15,82
31,16,95
31,17,63
31,18,50
31,19,34
31,20,41
31,21,53
31,22,47
31,23,42
31,24,48
31,25,45
31,26,50
31,27,53
31,28,49
31,29,53
31,30,42
31,31,41
31,32,40
31,33,54
31,34,59
31,35,95
31,36,86
31,37,86
31,38,64
31,39,53
31,40,40
31,41,36
31,42,27
31,43,41
31,44,28
31,45,22
31,46,12
31,47,13
32,0,7
32,1,4
32,2,3
32,3,1
32,4,1
32,5,2
32,6,4
32,7,7
32,8,2
32,9,5
32,10,2
32,11,15
32,12,19
32,13,22
32,14,66
32,15,92
32,16,79
32,17,76
32,18,60
32,19,42
32,20,50
32,21,60
32,22,55
32,23,45
32,24,53
32,25,45
32,26,49
32,27,53
32,28,54
32,29,37
32,30,47
32,31,45
32,32,49
32,33,52
32,34,55
32,35,72
32,36,87
32,37,75
32,38,61
32,39,48
32,40,56
32,41,54
32,42,34
32,43,33
32,44,21
32,45,11
32,46,15
32,47,15
33,0,6
33,1,4
33,2,4
33,3,2
33,4,2
33,5,4
33,6,2
33,7,3
33,8,3
33,9,3
33,10,4
33,11,18
33,12,18
33,13,35
33,14,59
33,15,71
33,16,68
33,17,75
33,18,53
33,19,61
33,20,57
33,21,43
33,22,43
33,23,52
33,24,64
33,25,41
33,26,64
33,27,54
33,28,49
33,29,46
33,30,43
33,31,47
33,32,58
33,33,53
33,34,67
33,35,88
33,36,102
33,37,81
33,38,79
33,39,63
33,40,64
33,41,54
33,42,59
33,43,42
33,44,37
33,45,25
33,46,25
33,47,22
34,0,6
34,1,7
34,2,5
34,3,4
34,4,2
34,5,3
34,6,2
34,7,2
34,8,6
34,9,5
34,10,3
34,11,15
34,12,31
34,13,18
34,14,49
34,15,37
34,16,38
34,17,52
34,18,47
34,19,44
34,20,43
34,21,37
34,22,38
34,23,52
34,24,55
34,25,59
34,26,47
34,27,59
34,28,48
34,29,50
34,30,52
34,31,60
34,32,50
34,33,57
34,34,49
34,35,50
34,36,48
34,37,46
34,38,34
34,39,37
34,40,39
34,41,37
34,42,34
34,43,21
34,44,28
34,45,23
34,46,11
34,47,17
35,0,4
35,1,4
35,2,4
35,3,6
35,4,4
35,5,2
35,6,5
35,7,4
35,8,6
35,9,3
35,10,9
35,11,10
35,12,8
35,13,15
35,14,21
35,15,33
35,16,29
35,17,41
35,18,25
35,19,33
35,20,34
35,21,36
35,22,49
35,23,48
35,24,46
35,25,30
35,26,48
35,27,38
35,28,39
35,29,49
35,30,48
35,31,41
35,32,49
35,33,48
35,34,40
35,35,48
35,36,49
35,37,38
35,38,29
35,39,28
35,40,19
35,41,31
35,42,24
35,43,22
35,44,22
35,45,14
35,46,11
35,47,3
36,0,4
36,1,4
36,2,4
36,3,3
36,4,1
36,5,5
36,6,3
36,7,3
36,8,3
36,9,7
36,10,8
36,11,14
36,12,13
36,13,30
36,14,51
36,15,67
36,16,79
36,17,70
36,18,41
36,19,56
36,20,50
36,21,43
36,22,60
36,23,43
36,24,47
36,25,49
36,26,50
36,27,46
36,28,54
36,29,44
36,30,47
36,31,47
36,32,48
36,33,47
36,34,56
36,35,80
36,36,69
36,37,75
36,38,61
36,39,61
36,40,59
36,41,31
36,42,43
36,43,31
36,44,30
36,45,29
36,46,10
36,47,13
37,0,10
37,1,6
37,2,6
37,3,4
37,4,4
37,5,4
37,6,3
37,7,7
37,8,5
37,9,6
37,10,9
37,11,18
37,12,11
37,13,16
37,14,28
37,15,26
37,16,28
37,17,35
37,18,33
37,19,27
37,20,41
37,21,37
37,22,41
37,23,31
37,24,30
37,25,33
37,26,33
37,27,51
37,28,26
37,29,59
37,30,42
37,31,39
37,32,32
37,33,41
37,34,34
37,35,38
37,36,44
37,37,40
37,38,36
37,39,28
37,40,29
37,41,27
37,42,22
37,43,31
37,44,15
37,45,9
37,46,13
37,47,10
38,0,2
38,1,5
38,2,7
38,3,5
38,4,4
38,5,1
38,6,4
38,7,5
38,8,5
38,9,6
38,10,8
38,11,7
38,12,23
38,13,35
38,14,77
38,15,80
38,16,85
38,17,86
38,18,62
38,19,47
38,20,39
38,21,45
38,22,51
38,23,44
38,24,68
38,25,52
38,26,49
38,27,52
38,28,49
38,29,53
38,30,36
38,31,44
38,32,51
38,33,46
38,34,60
38,35,83
38,36,98
38,37,80
38,38,60
38,39,50
38,40,46
38,41,44
38,42,37
38,43,32
38,44,24
38,45,14
38,46,13
38,47,13
39,0,3
39,1,6
39,2,5
39,3,5
39,4,4
39,5,3
39,6,3
39,7,7
39,8,5
39,9,8
39,10,5
39,11,13
39,12,20
39,13,28
39,14,76
39,15,81
39,16,65
39,17,62
39,18,58
39,19,43
39,20,47
39,21,51
39,22,56
39,23,45
39,24,58
39,25,43
39,26,45
39,27,38
39,28,40
39,29,34
39,30,32
39,31,43
39,32,43
39,33,57
39,34,49
39,35,77
39,36,74
39,37,78
39,38,73
39,39,58
39,40,40
39,41,54
39,42,35
39,43,26
39,44,22
39,45,15
39,46,7
39,47,7
40,0,4
40,1,7
40,2,6
40,3,2
40,4,4
40,5,4
40,6,1
40,7,5
40,8,5
40,9,3
40,10,5
40,11,12
40,12,17
40,13,21
40,14,60
40,15,82
40,16,75
40,17,63
40,18,55
40,19,43
40,20,49
40,21,51
40,22,47
40,23,41
40,24,40
40,25,51
40,26,46
40,27,42
40,28,44
40,29,45
40,30,40
40,31,54
40,32,57
40,33,52
40,34,59
40,35,75
40,36,102
40,37,83
40,38,91
40,39,73
40,40,68
40,41,45
40,42,50
40,43,33
40,44,27
40,45,37
40,46,25
40,47,16
41,0,10
41,1,7
41,2,6
41,3,7
41,4,3
41,5,4
41,6,2
41,7,3
41,8,1
41,9,5
41,10,7
41,11,14
41,12,7
41,13,17
41,14,36
41,15,34
41,16,30
41,17,40
41,18,44
41,19,55
41,20,34
41,21,49
41,22,43
41,23,54
41,24,43
41,25,49
41,26,50
41,27,46
41,28,45
41,29,59
41,30,39
41,31,57
41,32,47
41,33,54
41,34,68
41,35,47
41,36,44
41,37,44
41,38,43
41,39,31
41,40,33
41,41,36
41,42,31
41,43,25
41,44,17
41,45,18
41,46,21
41,47,13
42,0,5
42,1,3
42,2,4
42,3,4
42,4,6
42,5,6
42,6,4
42,7,2
42,8,2
42,9,6
42,10,5
42,11,5
42,12,8
42,13,8
42,14,27
42,15,23
42,16,26
42,17,32
42,18,46
42,19,35
42,20,32
42,21,31
42,22,30
42,23,48
42,24,45
42,25,40
42,26,41
42,27,36
42,28,47
42,29,34
42,30,33
42,31,49
42,32,44
42,33,49
42,34,40
42,35,40
42,36,41
42,37,35
42,38,31
42,39,27
42,40,16
42,41,22
42,42,16
42,43,15
42,44,20
42,45,8
42,46,11
42,47,7
43,0,4
43,1,4
43,2,2
43,3,2
43,4,5
43,5,7
43,6,5
43,7,3
43,8,3
43,9,5
43,10,8
43,11,19
43,12,13
43,13,33
43,14,67
43,15,78
43,16,79
43,17,66
43,18,48
43,19,38
43,20,46
43,21,45
43,22,46
43,23,47
43,24,48
43,25,49
43,26,55
43,27,51
43,28,31
43,29,46
43,30,57
43,31,61
43,32,52
43,33,48
43,34,53
43,35,74
43,36,84
43,37,62
43,38,57
43,39,62
43,40,56
43,41,44
43,42,32
43,43,35
43,44,13
43,45,17
43,46,13
43,47,10
44,0,7
44,1,5
44,2,8
44,3,3
44,4,5
44,5,1
44,6,0
44,7,2
44,8,2
44,9,2
44,10,7
44,11,14
44,12,16
44,13,31
44,14,69
44,15,80
44,16,72
44,17,71
44,18,40
44,19,35
44,20,43
44,21,44
44,22,39
44,23,31
44,24,38
44,25,40
44,26,47
44,27,45
44,28,45
44,29,42
44,30,51
44,31,42
44,32,50
44,33,38
44,34,49
44,35,87
44,36,80
44,37,69
44,38,52
44,39,46
44,40,37
44,41,43
44,42,40
44,43,33
44,44,29
44,45,9
44,46,12
44,47,11
45,0,3
45,1,3
45,2,2
45,3,3
45,4,2
45,5,5
45,6,1
45,7,4
45,8,4
45,9,5
45,10,5
45,11,8
45,12,17
45,13,33
45,14,66
45,15,90
45,16,58
45,17,64
45,18,61
45,19,37
45,20,44
45,21,51
45,22,39
45,23,38
45,24,50
45,25,53
45,26,36
45,27,42
45,28,37
45,29,51
45,30,39
45,31,48
45,32,45
45,33,44
45,34,56
45,35,67
45,36,93
45,37,71
45,38,66
45,39,46
45,40,47
45,41,28
45,42,43
45,43,21
45,44,24
45,45,28
45,46,12
45,47,13
46,0,5
46,1,8
46,2,8
46,3,4
46,4,8
46,5,4
46,6,6
46,7,6
46,8,8
46,9,5
46,10,7
46,11,16
46,12,21
46,13,23
46,14,68
46,15,81
46,16,72
46,17,65
46,18,54
46,19,56
46,20,48
46,21,42
46,22,34
46,23,44
46,24,51
46,25,44
46,26,41
46,27,36
46,28,43
46,29,41
46,30,47
46,31,54
46,32,52
46,33,47
46,34,64
46,35,74
46,36,80
46,37,79
46,38,65
46,39,58
46,40,48
46,41,34
46,42,54
46,43,24
46,44,22
46,45,24
46,46,10
46,47,16
47,0,3
47,1,6
47,2,7
47,3,4
47,4,3
47,5,2
47,6,3
47,7,2
47,8,3
47,9,6
47,10,5
47,11,14
47,12,19
47,13,37
47,14,73
47,15,95
47,16,70
47,17,69
47,18,49
47,19,49
47,20,43
47,21,52
47,22,58
47,23,37
47,24,46
47,25,64
47,26,48
47,27,44
47,28,47
47,29,40
47,30,51
47,31,41
47,32,57
47,33,52
47,34,53
47,35,85
47,36,97
47,37,81
47,38,80
47,39,72
47,40,51
47,41,54
47,42,41
47,43,37
47,44,30
47,45,30
47,46,18
47,47,22
48,0,4
48,1,6
48,2,4
48,3,5
48,4,5
48,5,10
48,6,6
48,7,5
48,8,7
48,9,10
48,10,6
48,11,18
48,12,18
48,13,24
48,14,25
48,15,36
48,16,37
48,17,24
48,18,37
48,19,32
48,20,36
48,21,38
48,22,40
48,23,47
48,24,41
48,25,45
48,26,40
